"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Дата підписання протоколу"
"140538","54","Донецька область","будинок культури, фойє
вул.60 років ВЛКСМ, 2А, с.Велика Шишівка, Шахтарський р-н, Донецька обл., 86253","560","148","552","33","379","33","412","","0","379","33","412","4","408","43","5","14","321","16","7","2","28.10.12"
"140539","54","Донецька область","сільський клуб, фойє
вул.Колхозна, 25А, с.Тернове, Шахтарський р-н, Донецька обл., 86200","288","46","281","25","217","25","242","","0","217","25","242","9","233","27","2","2","189","6","0","7","29.10.12"
"140540","54","Донецька область","будинок культури, фойє
вул.Совєтська, 32, с.Грабове, Шахтарський р-н, Донецька обл., 86234","648","147","640","39","462","39","501","","0","462","39","501","17","484","51","2","5","388","19","4","15","28.10.12"
"140541","54","Донецька область","сільський клуб, фойє
вул.Октябрська, 25А, с.Рівне, Шахтарський р-н, Донецька обл., 86200","224","31","216","13","180","13","193","","0","180","13","193","3","190","19","1","0","153","7","0","10","29.10.12"
"140542","54","Донецька область","школа, фойє
вул.Центральна, 35, с.Дмитрівка, Шахтарський р-н, Донецька обл., 86262","1544","411","1536","183","957","176","1133","","0","957","176","1133","31","1102","155","8","13","804","54","11","57","28.10.12"
"140543","54","Донецька область","ТОВ ім.Челюскінців, актова зала
вул.Центральна, 122, с.Дмитрівка, Шахтарський р-н, Донецька обл., 86262","888","280","876","75","536","72","608","","0","536","72","608","4","604","112","5","11","424","29","4","19","28.10.12"
"140544","54","Донецька область","магазин, торговельна зала
вул.Соловйова, 49А, с.Латишеве, Шахтарський р-н, Донецька обл., 86200","144","18","138","17","109","17","126","","0","109","17","126","2","124","17","0","3","98","2","3","1","28.10.12"
"140545","54","Донецька область","сільський клуб, фойє
вул.Центральна, 16, с.Дібрівка, Шахтарський р-н, Донецька обл., 86200","224","44","218","19","162","18","180","","0","162","18","180","4","176","20","1","9","120","15","3","8","28.10.12"
"140546","54","Донецька область","школа, фойє
вул.Ломоносова, 8, с.Золотарівка, Шахтарський р-н, Донецька обл., 86252","880","140","869","51","689","51","740","","0","689","51","740","20","720","108","7","6","570","6","8","15","29.10.12"
"140547","54","Донецька область","сільський клуб, фойє
вул.Куйбишева, 1А, с.Новопелагіївка, Шахтарський р-н, Донецька обл., 86252","176","19","175","17","140","17","157","","0","140","17","157","5","152","21","0","5","123","0","1","2","28.10.12"
