"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алєксєєв
Ігор
Володимирович","Божидарнік
Тарас
Вікторович","Гайдучик
Петро
Данилович","Голєва
Олена
Василівна","Козюра
Андрій
Григорович","Кравчук
Петро
Костянтинович","Недужко
Юрій
Вікторович","Палиця
Ігор
Петрович","Пащук
Віктор
Михайлович","Плакса
Ярослав
Вікторович","Сітуха
Сергій
Дмитрович","Федосюк
Віталій
Євгенійович","Дата підписання протоколу"
"000001","22","Волинська область","приміщення клубу слідчого ізолятора
вул.Нестора Бурчака, 3, м.Луцьк","456","116","340","1","339","1","340","","0","339","1","340","15","325","12","6","5","7","3","25","2","253","5","4","1","2","29.10.12"
"071023","22","Волинська область","будинок культури, бібліотека, 1-й поверх
вул.Корольова, 10, м.Луцьк, 43022","1458","445","1447","26","991","22","1013","","0","991","22","1013","10","1003","69","16","20","49","18","248","26","512","11","1","4","29","29.10.12"
"071024","22","Волинська область","школа №16, спортивний зал, 1-й поверх
вул.Корольова, 7, м.Луцьк, 43022","1578","594","1569","33","957","27","984","","0","957","27","984","17","967","95","19","15","70","6","275","33","426","12","2","4","10","29.10.12"
"071025","22","Волинська область","школа №20, актовий зал, 1-й поверх
вул.Шота Руставелі, 11, м.Луцьк, 43017","2412","792","2386","12","1610","10","1620","","0","1610","10","1620","60","1560","149","25","30","93","31","440","75","602","31","7","13","64","29.10.12"
"071026","22","Волинська область","спортивний клуб ""Стріла"", актовий зал, 1-й поверх
бульв.Дружби Народів, 13А, м.Луцьк, 43017","2514","861","2488","4","1652","1","1653","","0","1652","1","1653","46","1607","143","22","17","91","35","422","58","690","18","14","11","86","29.10.12"
"071027","22","Волинська область","Луцьке вище професійне училище, актовий зал, 1-й поверх
вул.Бенделіані, 3, м.Луцьк, 43017","2274","768","2247","9","1497","9","1506","","0","1497","9","1506","33","1473","138","39","23","117","28","458","48","501","35","13","11","62","29.10.12"
"071028","22","Волинська область","школа-ліцей №24, спортивний зал, 1-й поверх
вул.Станіславського, 52А, м.Луцьк, 43017","2058","744","2045","14","1303","11","1314","","0","1303","11","1314","24","1290","134","32","34","88","27","372","70","430","21","27","9","46","29.10.12"
"071029","22","Волинська область","школа-ліцей №24, актовий зал, 1-й поверх
вул.Станіславського, 52А, м.Луцьк, 43017","2268","797","2238","11","1461","10","1471","","0","1461","10","1471","43","1428","121","24","22","98","27","344","62","637","11","10","8","64","29.10.12"
"071030","22","Волинська область","гімназія №14, актовий зал, 1-й поверх
вул.Черняховського, 8, м.Луцьк, 43018","2358","861","2342","14","1485","12","1497","","0","1485","12","1497","35","1462","126","21","31","83","28","385","51","631","21","12","14","59","29.10.12"
"071031","22","Волинська область","Луцьке вище професійне училище будівництва та архітектури, спортивний зал, 1-й поверх
вул.Потебні, 52, м.Луцьк, 43017","2304","855","2268","29","1425","24","1449","","0","1425","24","1449","57","1392","108","34","38","107","9","390","44","537","27","9","19","70","29.10.12"
"071032","22","Волинська область","гуртожиток Луцького національного технічного університету, читальний зал, 1-й поверх
вул.Даньшина, 8, м.Луцьк, 43018","2094","793","2073","17","1291","10","1301","","0","1291","10","1301","38","1263","108","58","29","73","29","334","48","518","12","5","17","32","29.10.12"
